S,Linear_ProbesS_B8,Random_ProbesS_B8,Total_ProbesS_B8
1000,0.36,0.0,0.36
2000,2.5775,0.0,2.5775
5000,44.595,0.0,44.595
10000,404.12,0.0075,404.1275
15000,1539.155,0.1575,1530.3125
20000,4109.03,2.8225,4111.8525
30000,18318.96,114.1325,18433.0925
32768,26066.515,249.255,26315.77
35000,34240.065,447.0375,34687.1025
39321,56865.1025,1217.39,58082.4925
40000,61379.475,1401.7675,62781.2425
45000,108352.02,3857.675,112209.695
49152,174883.6625,8423.1525,183306.815
50000,193750.465,9870.0425,203620.5075
55000,369846.95,25277.705,395124.655
60000,874318.6025,76502.985,950821.5875
65000,10640887.605,1155440.0825,11796327.6875
